,Country,Year,GDP,Happiness,Lat,Lon
0,Afghanistan,2018,485.668418729808,2.694,33.93911,67.709953
1,Albania,2018,5287.66369446913,5.004,41.153332,20.168331
2,Algeria,2018,4142.01855842917,5.043,28.033886,1.659626
3,Angola,2014,5408.41170002082,3.795,-11.202692,17.873887
4,Argentina,2018,11795.1593866287,5.793,-38.416097,-63.616672
5,Armenia,2018,4220.54032079145,5.062,40.069099,45.038189
6,Australia,2018,57180.7794001614,7.177,-25.274398,133.775136
7,Austria,2018,51461.4332150082,7.396,47.516231,14.550072
8,Azerbaijan,2018,4739.84171028393,5.168,40.143105,47.576927
9,Bahrain,2017,23742.9373424159,6.227,25.930414,50.637772
10,Bangladesh,2018,1698.13208078712,4.499,23.684994,90.356331
11,Belarus,2018,6360.06247301284,5.234,53.709807,27.953389
12,Belgium,2018,47519.5530968943,6.892,50.503887,4.469936
13,Belize,2014,4718.43658122355,5.956,17.189877,-88.49765
14,Benin,2018,1241.82529800958,5.82,9.30769,2.315834
15,Bhutan,2015,2752.63017233678,5.082,27.514162,90.433601
16,Bolivia,2018,3548.59078021377,5.916,-16.290154,-63.588653
17,Bosnia and Herzegovina,2018,6070.34908129292,5.887,43.915886,17.679076
18,Botswana,2018,7503.8785883646,3.461,-22.328474,24.684866
19,Brazil,2018,9151.38173161536,6.191,-14.235004,-51.92528
20,Bulgaria,2018,9446.70077185518,5.099,42.733883,25.48583
21,Burkina Faso,2018,804.500537821516,4.927,12.238333,-1.561593
22,Burundi,2018,238.783467020173,3.775,-3.373056,29.918886
23,Cambodia,2018,1512.12698889384,5.122,12.565679,104.990963
24,Cameroon,2018,1585.24053445546,5.251,7.369722,12.354722
25,Canada,2018,46454.7433947203,7.175,56.130366,-106.346771
26,Central African Republic,2017,450.900657858547,3.476,6.611111,20.939444
27,Chad,2018,726.151007088549,4.486,15.454166,18.732207
28,Chile,2018,15888.144355398,6.436,-35.675147,-71.542969
29,China,2018,9905.34200389253,5.131,35.86166,104.195397
30,Colombia,2018,6729.58333198168,5.984,4.570868,-74.297333
31,Comoros,2018,1428.29046324322,3.973,-11.875001,43.872219
32,Costa Rica,2018,12485.423896168,7.141,9.748917,-83.753428
33,Croatia,2018,15227.5600968096,5.536,45.1,15.2
34,Cuba,2006,4683.56906667746,5.418,21.521757,-77.781167
35,Cyprus,2018,29089.4713273857,6.276,35.126413,33.429859
36,Czech Republic,2018,23419.7356136502,7.034,49.817492,15.472962
37,Denmark,2018,61591.9288698958,7.649,56.26392,9.501785
38,Djibouti,2011,1451.54808090617,4.369,11.825138,42.590275
39,Dominican Republic,2018,8050.64407623416,5.433,18.735693,-70.162651
40,Ecuador,2018,6295.93466163992,6.128,-1.831239,-78.183406
41,El Salvador,2018,4052.62477533742,6.276,13.794185,-88.89653
42,Estonia,2018,23052.3012559586,6.091,58.595272,25.013607
43,Ethiopia,2018,771.524866349431,4.379,9.145,40.489673
44,Finland,2018,49964.4999098426,7.858,61.92411,25.748151
45,France,2018,41572.4850099629,6.666,46.227638,2.213749
46,Gabon,2018,7959.00726736376,4.783,-0.803689,11.609444
47,Georgia,2018,4722.78778321766,4.659,42.315407,43.356892
48,Germany,2018,47950.1808142041,7.118,51.165691,10.451526
49,Ghana,2017,2074.29073272269,5.481,7.946527,-1.023194
50,Greece,2018,19747.3425837935,5.409,39.074208,21.824312
51,Guatemala,2018,4478.42464550944,6.627,15.783471,-90.230759
52,Guinea,2018,955.111281136711,5.252,9.945587,-9.696645
53,Guyana,2007,3658.47996657813,5.993,4.860416,-58.93018
54,Haiti,2018,1479.3458268885,3.615,18.971187,-72.285215
55,Honduras,2018,2492.86896769136,5.908,15.199999,-86.241905
56,Hungary,2017,14623.6966492311,6.065,47.162494,19.503304
57,Iceland,2017,72010.1490316258,7.476,64.963051,-19.020835
58,India,2018,1996.91508739789,3.818,20.593684,78.96288
59,Indonesia,2018,3893.85957814877,5.34,-0.789275,113.921327
60,Iraq,2017,4985.45287942996,4.462,33.223191,43.679291
61,Ireland,2018,79068.9746116787,6.962,53.41291,-8.24389
62,Israel,2018,42063.4531274811,6.927,31.046051,34.851612
63,Italy,2018,34605.2627252058,6.517,41.87194,12.56738
64,Jamaica,2017,5070.0995030616,5.89,18.109581,-77.297508
65,Japan,2018,39808.1685608793,5.794,36.204824,138.252924
66,Jordan,2018,4308.1510738997,4.639,30.585164,36.238414
67,Kazakhstan,2018,9812.62637077396,6.008,48.019573,66.923684
68,Kenya,2018,1794.0911754468,4.656,-0.023559,37.906193
69,Kosovo,2018,4384.0488917319,6.392,42.602636,20.902977
70,Kuwait,2017,29759.4674745278,6.094,29.31166,47.481766
71,Latvia,2018,17856.3071171976,5.901,56.879635,24.603189
